price,parking,bathrooms,bedrooms,suburb,propertyType
500000.0,3,2,4,Downer,house
506000.0,2,1,4,Downer,house
520000.0,2,2,4,Torrens,house
675000.0,2,2,4,Weston,house
920000.0,2,2,4,Turner,house
50000.0,2,2,4,Fadden,house
548000.0,2,2,2,Braddon,house
507000.0,2,2,4,Wanniassa,house
450000.0,2,2,4,Spence,house
450000.0,2,2,3,Gordon,house
539000.0,2,2,4,Curtin,house
475000.0,2,2,3,Duffy,house
550000.0,1,2,3,Weston,house
50000.0,2,2,4,Dickson,house
50000.0,1,2,4,Narrabundah,house
550000.0,3,3,4,Kaleen,house
550000.0,2,2,4,Hughes,house
385000.0,2,1,3,Banks,house
397000.0,2,2,3,Gowrie,house
556000.0,1,2,3,Curtin,house
447000.0,3,2,4,Isabella Plains,house
720000.0,2,3,4,Aranda,house
675000.0,1,2,3,Hughes,house
675000.0,1,2,4,Narrabundah,house
875000.0,2,2,3,Deakin,house
273000.0,1,2,1,Holt,house
368000.0,2,2,3,Dunlop,house
385000.0,2,1,3,Theodore,house
50000.0,2,1,3,Ainslie,house
560000.0,2,2,5,Monash,house
455000.0,3,2,4,Richardson,house
480000.0,2,3,4,Gordon,house
550000.0,0,2,3,Curtin,house
50000.0,2,3,4,Griffith,house
50000.0,2,2,3,Pearce,house
300500.0,0,2,3,Banks,house
505000.0,2,2,3,Watson,house
135500.0,0,2,1,Downer,house
590000.0,2,2,4,Gungahlin,house
645000.0,2,3,5,Bruce,house
770000.0,1,2,4,Curtin,house
1100000.0,2,3,5,Nicholls,house
550000.0,2,2,5,Hughes,house
655000.0,1,2,6,Aranda,house
365000.0,1,1,3,Palmerston,house
612500.0,2,2,4,Pearce,house
985000.0,2,2,6,Hughes,house
550000.0,2,2,4,Narrabundah,house
875000.0,1,3,3,Deakin,house
472500.0,2,2,4,Latham,house
600000.0,1,2,5,Duffy,house
372500.0,1,2,3,Holt,house
395000.0,4,1,3,Isabella Plains,house
497000.0,0,1,2,Ainslie,house
595000.0,2,2,4,Banks,house
875000.0,3,3,5,Nicholls,house
550000.0,2,1,3,Aranda,house
465000.0,2,2,2,Weston,house
505000.0,3,1,4,Wanniassa,house
379000.0,2,2,3,Holt,house
505000.0,1,1,3,Narrabundah,house
675000.0,1,2,3,Chifley,house
380000.0,0,1,3,Scullin,house
655000.0,2,2,4,Kambah,house
760000.0,2,2,3,Griffith,house
760500.0,2,2,3,Griffith,house
1050000.0,4,3,8,Turner,house
350000.0,1,1,2,Phillip,house
442500.0,2,2,4,Dunlop,house
447000.0,2,1,3,Conder,house
560000.0,3,2,4,Kambah,house
560000.0,2,2,4,Monash,house
335000.0,1,1,3,Chisholm,house
575000.0,1,2,3,Hughes,house
439000.0,0,2,3,Kambah,house
308000.0,1,2,1,Gungahlin,house
353000.0,1,2,3,Banks,house
370000.0,2,1,3,Richardson,house
425000.0,1,2,3,Watson,house
825000.0,1,1,3,Ainslie,house
930000.0,2,2,5,Melba,house
365000.0,1,1,3,Chisholm,house
387000.0,2,1,3,Gordon,house
620000.0,2,1,4,Banks,house
825000.0,2,1,3,Deakin,house
335000.0,1,1,3,Theodore,house
350000.0,2,2,3,Kambah,house
50000.0,2,2,4,Farrer,house
421000.0,3,1,3,Dickson,house
545000.0,2,2,4,Banks,house
675000.0,2,2,4,Harrison,house
350000.0,1,1,2,Belconnen,house
635000.0,1,2,4,Curtin,house
357500.0,2,2,3,Lyons,house
400000.0,1,2,4,Ngunnawal,house
1105000.0,2,3,4,Campbell,house
259000.0,1,1,2,Downer,house
437500.0,2,2,3,Richardson,house
50000.0,2,1,5,Deakin,house
50000.0,2,2,4,Kambah,house
875000.0,2,2,4,Hughes,house
530000.0,2,2,4,Conder,house
675000.0,1,2,3,Chifley,house
