price,parking,bathrooms,bedrooms,suburb,propertyType,quarters,seasons
675000.0,2,2,5,Torrens,house,q3,summer
320000.0,1,1,3,Isabella Plains,house,q3,summer
418000.0,2,2,5,Kambah,house,q3,summer
455000.0,2,2,4,Calwell,house,q3,summer
560000.0,2,2,4,Ngunnawal,house,q3,summer
585000.0,1,2,4,Fadden,house,q3,summer
550000.0,1,2,3,Narrabundah,house,q3,summer
675000.0,2,2,5,Chapman,house,q3,summer
450000.0,0,2,3,Waramanga,house,q3,summer
550000.0,1,2,4,Weston,house,q3,summer
550000.0,1,1,3,Narrabundah,house,q3,summer
2250000.0,3,3,6,Forrest,house,q3,summer
325000.0,1,2,2,Conder,house,q3,summer
420000.0,1,2,4,Kambah,house,q3,summer
599000.0,4,2,3,Downer,house,q3,summer
315000.0,1,1,2,Calwell,house,q3,summer
367000.0,2,2,3,Ngunnawal,house,q3,summer
875000.0,2,2,4,Mawson,house,q3,summer
348000.0,0,2,3,Kambah,house,q3,summer
532500.0,2,2,4,Duffy,house,q3,summer
450000.0,2,2,3,Stirling,house,q1,winter
315000.0,1,1,2,Gordon,house,q1,winter
675000.0,2,3,4,McKellar,house,q1,spring
465000.0,2,2,3,Fisher,house,q1,spring
675000.0,2,2,3,Turner,house,q2,spring
820000.0,2,2,4,Nicholls,house,q2,spring
350000.0,2,2,3,Nicholls,house,q2,summer
590000.0,2,2,3,Chapman,house,q2,summer
875000.0,2,2,4,Griffith,house,q3,summer
550000.0,1,1,3,Fisher,house,q3,summer
50000.0,1,1,4,Macquarie,house,q3,summer
50000.0,2,2,4,Hughes,house,q3,summer
50000.0,2,2,4,Deakin,house,q3,summer
675000.0,3,2,4,Curtin,house,q4,fall
559000.0,2,2,4,Monash,house,q4,fall
450000.0,2,2,4,Fisher,house,q3,fall
446000.0,3,2,4,Kambah,house,q3,fall
470000.0,1,2,3,Downer,house,q3,fall
350000.0,0,2,3,Wanniassa,house,q3,fall
396500.0,2,2,4,Wanniassa,house,q3,fall
479000.0,5,1,3,Narrabundah,house,q3,fall
1460000.0,2,2,5,Red Hill,house,q3,fall
350000.0,0,1,3,Evatt,house,q3,fall
500000.0,3,2,4,Downer,house,q3,fall
506000.0,2,1,4,Downer,house,q3,fall
520000.0,2,2,4,Torrens,house,q3,fall
675000.0,2,2,4,Weston,house,q3,fall
920000.0,2,2,4,Turner,house,q3,fall
50000.0,2,2,4,Fadden,house,q3,fall
548000.0,2,2,2,Braddon,house,q3,fall
507000.0,2,2,4,Wanniassa,house,q3,fall
450000.0,2,2,4,Spence,house,q3,fall
450000.0,2,2,3,Gordon,house,q3,fall
539000.0,2,2,4,Curtin,house,q1,winter
475000.0,2,2,3,Duffy,house,q1,winter
550000.0,1,2,3,Weston,house,q2,spring
50000.0,2,2,4,Dickson,house,q2,summer
50000.0,1,2,4,Narrabundah,house,q2,summer
550000.0,3,3,4,Kaleen,house,q3,summer
550000.0,2,2,4,Hughes,house,q3,summer
385000.0,2,1,3,Banks,house,q3,summer
397000.0,2,2,3,Gowrie,house,q3,fall
556000.0,1,2,3,Curtin,house,q4,fall
447000.0,3,2,4,Isabella Plains,house,q4,winter
720000.0,2,3,4,Aranda,house,q4,winter
675000.0,1,2,3,Hughes,house,q4,fall
675000.0,1,2,4,Narrabundah,house,q4,fall
875000.0,2,2,3,Deakin,house,q4,fall
273000.0,1,2,1,Holt,house,q4,fall
368000.0,2,2,3,Dunlop,house,q4,fall
385000.0,2,1,3,Theodore,house,q4,fall
50000.0,2,1,3,Ainslie,house,q4,fall
560000.0,2,2,5,Monash,house,q4,fall
455000.0,3,2,4,Richardson,house,q4,fall
480000.0,2,3,4,Gordon,house,q4,fall
550000.0,0,2,3,Curtin,house,q4,fall
50000.0,2,3,4,Griffith,house,q4,fall
50000.0,2,2,3,Pearce,house,q4,fall
300500.0,0,2,3,Banks,house,q4,fall
505000.0,2,2,3,Watson,house,q4,fall
135500.0,0,2,1,Downer,house,q4,fall
590000.0,2,2,4,Gungahlin,house,q4,fall
645000.0,2,3,5,Bruce,house,q4,fall
770000.0,1,2,4,Curtin,house,q4,fall
1100000.0,2,3,5,Nicholls,house,q4,fall
